Date,Open,High,Low,Close,AdjClose
"Feb 1, 2005","1,767.79","1,804.17","1,762.76","1,792.63","1,792.63"
"Jan 1, 2005","1,784.96","1,784.96","1,729.33","1,755.68","1,755.68"
"Dec 1, 2004","1,766.90","1,801.98","1,745.84","1,799.55","1,799.55"
"Nov 1, 2004","1,673.11","1,754.33","1,673.11","1,740.33","1,740.33"
"Oct 1, 2004","1,672.49","1,688.83","1,619.48","1,672.65","1,672.65"
"Sep 1, 2004","1,632.82","1,668.39","1,630.67","1,647.48","1,647.48"
"Aug 1, 2004","1,630.48","1,634.83","1,567.95","1,629.83","1,629.83"
"Jul 1, 2004","1,661.53","1,661.53","1,596.48","1,623.26","1,623.26"
"Jun 1, 2004","1,647.57","1,682.75","1,641.43","1,678.83","1,678.83"
"May 1, 2004","1,639.46","1,647.65","1,592.23","1,646.80","1,646.80"
"Apr 1, 2004","1,659.16","1,686.24","1,624.51","1,624.51","1,624.51"
"Mar 1, 2004","1,691.90","1,693.76","1,598.85","1,650.42","1,650.42"
"Feb 1, 2004","1,658.79","1,693.03","1,646.29","1,675.70","1,675.70"
"Jan 1, 2004","1,618.05","1,687.44","1,618.05","1,652.73","1,652.73"
"Dec 1, 2003","1,559.50","1,622.94","1,544.31","1,622.94","1,622.94"
"Nov 1, 2003","1,540.71","1,542.39","1,505.76","1,542.07","1,542.07"
"Oct 1, 2003","1,479.23","1,528.62","1,479.23","1,528.62","1,528.62"
"Sep 1, 2003","1,482.61","1,509.47","1,446.77","1,446.77","1,446.77"
"Aug 1, 2003","1,419.64","1,462.30","1,398.42","1,462.30","1,462.30"
"Jul 1, 2003","1,421.03","1,458.51","1,416.88","1,434.33","1,434.33"
"Jun 1, 2003","1,396.70","1,462.48","1,396.70","1,409.48","1,409.48"
"May 1, 2003","1,321.39","1,391.72","1,321.39","1,391.72","1,391.72"
"Apr 1, 2003","1,236.30","1,324.68","1,236.30","1,322.07","1,322.07"
"Mar 1, 2003","1,200.60","1,289.74","1,152.15","1,221.46","1,221.46"
"Feb 1, 2003","1,234.79","1,234.79","1,174.43","1,209.71","1,209.71"
"Jan 1, 2003","1,303.17","1,336.25","1,212.23","1,228.14","1,228.14"
"Dec 1, 2002","1,337.35","1,337.35","1,254.66","1,261.18","1,261.18"
"Nov 1, 2002","1,287.13","1,343.47","1,252.42","1,339.89","1,339.89"
"Oct 1, 2002","1,209.59","1,284.73","1,108.91","1,265.41","1,265.41"
"Sep 1, 2002","1,250.68","1,296.25","1,163.04","1,163.04","1,163.04"
"Aug 1, 2002","1,258.22","1,370.85","1,187.07","1,304.86","1,304.86"
"Jul 1, 2002","1,375.88","1,405.20","1,133.99","1,296.34","1,296.34"
"Jun 1, 2002","1,476.26","1,489.88","1,382.78","1,405.94","1,405.94"
"May 1, 2002","1,538.65","1,569.17","1,486.57","1,513.77","1,513.77"
"Apr 1, 2002","1,622.23","1,622.23","1,508.75","1,525.00","1,525.00"
"Mar 1, 2002","1,600.02","1,655.44","1,600.02","1,623.43","1,623.43"
"Feb 1, 2002","1,584.06","1,584.06","1,525.26","1,564.59","1,564.59"
"Jan 1, 2002","1,628.51","1,653.69","1,553.23","1,595.35","1,595.35"
"Dec 1, 2001","1,591.48","1,649.00","1,577.58","1,618.98","1,618.98"
"Nov 1, 2001","1,524.96","1,629.76","1,524.96","1,604.92","1,604.92"
"Oct 1, 2001","1,459.33","1,553.26","1,459.33","1,490.58","1,490.58"
"Sep 1, 2001","1,590.29","1,590.29","1,356.61","1,462.69","1,462.69"
"Aug 1, 2001","1,704.24","1,711.17","1,584.77","1,591.18","1,591.18"
"Jul 1, 2001","1,731.53","1,731.53","1,641.76","1,697.45","1,697.45"
"Jun 1, 2001","1,763.87","1,795.96","1,691.59","1,714.32","1,714.32"
"May 1, 2001","1,769.12","1,836.02","1,741.33","1,757.09","1,757.09"
"Apr 1, 2001","1,599.36","1,750.98","1,540.17","1,745.39","1,745.39"
"Mar 1, 2001","1,730.92","1,764.39","1,559.65","1,619.54","1,619.54"
"Feb 1, 2001","1,913.11","1,913.11","1,729.08","1,729.08","1,729.08"
"Jan 1, 2001","1,785.86","1,913.13","1,785.86","1,902.55","1,902.55"
"Dec 1, 2000","1,828.81","1,919.65","1,759.62","1,837.37","1,837.37"
"Nov 1, 2000","1,973.72","1,989.19","1,828.42","1,828.42","1,828.42"
"Oct 1, 2000","1,992.94","1,993.70","1,846.08","1,984.91","1,984.91"
"Sep 1, 2000","2,108.76","2,108.76","1,979.31","1,993.33","1,993.33"
"Aug 1, 2000","1,991.43","2,104.43","1,991.43","2,104.43","2,104.43"
"Jul 1, 2000","2,033.58","2,091.14","1,966.20","1,981.36","1,981.36"
"Jun 1, 2000","2,003.45","2,055.84","1,994.33","2,012.83","2,012.83"
"May 1, 2000","2,027.40","2,027.40","1,898.94","1,964.40","1,964.40"
"Apr 1, 2000","2,077.97","2,092.87","1,872.55","2,005.55","2,005.55"
"Mar 1, 2000","1,901.51","2,107.28","1,869.33","2,067.76","2,067.76"
"Feb 1, 2000","1,940.24","1,985.49","1,837.70","1,883.50","1,883.50"
"Jan 1, 2000","2,002.11","2,016.64","1,872.61","1,919.84","1,919.84"
"Dec 1, 1999","1,921.49","2,021.40","1,921.49","2,021.40","2,021.40"
"Nov 1, 1999","1,858.86","1,957.87","1,850.13","1,908.97","1,908.97"
