total_borrower_income,avg_annual_income,first_year_income,last_year_income,income_vs_target,initial_investment,total_payments_made,total_admin_costs,final_profit,total_return,cagr,prob_default,market_risk,insurance_needed,complexity_score,house_value,loan_duration,loan_amount
3163335.3234683573,158166.76617341785,123835.4951381263,197969.63729252192,5.272225539113928,1760000.0,3163335.3234683573,0,-356338.31256894476,-0.20246495032326406,-0.011247740597155609,0.0,0.0,False,1.0,2200000,20,1760000.0
3647581.306029788,145903.25224119154,106786.30232343732,193147.1560723724,4.863441741373052,1760000.0,3647581.306029788,0,-585634.8047836891,-0.33274704817255063,-0.01605319433382335,0.0,0.0,False,1.0,2200000,25,1760000.0
4201205.240588444,140040.17468628148,95693.54362906556,195827.97526222083,4.668005822876049,1760000.0,4201205.240588444,0,-907713.6835352351,-0.5157464110995654,-0.023881759820788884,0.0,0.0,False,1.0,2200000,30,1760000.0
2478682.3052536105,247868.23052536105,221244.1168760004,276303.5848852102,8.262274350845368,1840000.0,2478682.3052536105,0,-89721.03385337137,-0.048761431442049655,-0.004986564317593034,0.0,0.0,False,1.0,2300000,10,1840000.0
2864771.0280507873,190984.73520338582,159758.12763350093,225734.05203392234,6.3661578401128605,1840000.0,2864771.0280507873,0,-204702.95358357154,-0.11125160520846279,-0.007831909781898516,0.0,0.0,False,1.0,2300000,15,1840000.0
3307123.292716919,165356.16463584595,129464.3812807684,206968.2571694547,5.511872154528199,1840000.0,3307123.292716919,0,-372535.50859480567,-0.20246495032326395,-0.011247740597155609,0.0,0.0,False,1.0,2300000,20,1840000.0
3813380.4563038694,152535.21825215477,111640.22515632084,201926.57225748023,5.084507275071825,1840000.0,3813380.4563038694,0,-612254.5686374923,-0.33274704817255013,-0.01605319433382324,0.0,0.0,False,1.0,2300000,25,1840000.0
4392169.115160647,146405.63717202155,100043.25015765945,204729.24686504903,4.880187905734052,1840000.0,4392169.115160647,0,-948973.3964232025,-0.5157464110995665,-0.023881759820788995,0.0,0.0,False,1.0,2300000,30,1840000.0
2586451.101134202,258645.1101134202,230863.42630539168,288316.7842280454,8.621503670447341,1920000.0,2586451.101134202,0,-93621.94836873404,-0.04876143144204898,-0.004986564317593034,0.0,0.0,False,1.0,2400000,10,1920000.0
2989326.2901399517,199288.41934266346,166704.13318278355,235548.5760353972,6.642947311422115,1920000.0,2989326.2901399517,0,-213603.08200024912,-0.11125160520846308,-0.007831909781898516,0.0,0.0,False,1.0,2400000,15,1920000.0
3450911.26196548,172545.563098274,135093.2674234105,215966.87704638753,5.751518769942466,1920000.0,3450911.26196548,0,-388732.70462066657,-0.20246495032326384,-0.011247740597155609,0.0,0.0,False,1.0,2400000,20,1920000.0
3979179.6065779515,159167.18426311805,116494.14798920434,210705.98844258807,5.305572808770601,1920000.0,3979179.6065779515,0,-638874.3324912963,-0.3327470481725502,-0.01605319433382324,0.0,0.0,False,1.0,2400000,25,1920000.0
4583132.9897328485,152771.0996577616,104392.95668625332,213630.51846787723,5.092369988592053,1920000.0,4583132.9897328485,0,-990233.1093111665,-0.5157464110995659,-0.023881759820788995,0.0,0.0,False,1.0,2400000,30,1920000.0
2694219.897014794,269421.9897014794,240482.735734783,300329.9835708806,8.980732990049313,2000000.0,2694219.897014794,0,-97522.8628840982,-0.0487614314420491,-0.004986564317593034,0.0,0.0,False,1.0,2500000,10,2000000.0
3113881.5522291167,207592.1034819411,173650.1387320662,245363.10003687209,6.91973678273137,2000000.0,3113881.5522291167,0,-222503.2104169256,-0.1112516052084628,-0.007831909781898516,0.0,0.0,False,1.0,2500000,15,2000000.0
3594699.231214041,179734.96156070204,140722.15356605258,224965.49692332032,5.991165385356735,2000000.0,3594699.231214041,0,-404929.90064652765,-0.20246495032326384,-0.011247740597155609,0.0,0.0,False,1.0,2500000,20,2000000.0
4144978.7568520317,165799.15027408127,121348.07082208786,219485.4046276959,5.526638342469376,2000000.0,4144978.7568520317,0,-665494.0963451001,-0.33274704817255,-0.01605319433382324,0.0,0.0,False,1.0,2500000,25,2000000.0
4774096.864305051,159136.5621435017,108742.66321484721,222531.79007070544,5.304552071450057,2000000.0,4774096.864305051,0,-1031492.8221991308,-0.5157464110995654,-0.023881759820788884,0.0,0.0,False,1.0,2500000,30,2000000.0
2801988.6928953854,280198.86928953853,250102.0451641743,312343.18291371583,9.339962309651284,2080000.0,2801988.6928953854,0,-101423.77739946247,-0.048761431442049266,-0.004986564317593034,0.0,0.0,False,1.0,2600000,10,2080000.0
3238436.8143182816,215895.78762121877,180596.14428134885,255177.62403834696,7.196526254040625,2080000.0,3238436.8143182816,0,-231403.33883360313,-0.11125160520846304,-0.007831909781898516,0.0,0.0,False,1.0,2600000,15,2080000.0
3738487.200462604,186924.3600231302,146351.0397086947,233964.11680025316,6.230812000771007,2080000.0,3738487.200462604,0,-421127.0966723885,-0.2024649503232637,-0.011247740597155609,0.0,0.0,False,1.0,2600000,20,2080000.0
4310777.907126114,172431.11628504455,126201.99365497137,228264.82081280375,5.747703876168152,2080000.0,4310777.907126114,0,-692113.8601989053,-0.33274704817255063,-0.01605319433382335,0.0,0.0,False,1.0,2600000,25,2080000.0
4965060.738877254,165502.0246292418,113092.3697434411,231433.06167353367,5.516734154308059,2080000.0,4965060.738877254,0,-1072752.5350870963,-0.5157464110995655,-0.023881759820788884,0.0,0.0,False,1.0,2600000,30,2080000.0
2909757.488775977,290975.7488775977,259721.35459356563,324356.38225655106,9.699191629253257,2160000.0,2909757.488775977,0,-105324.69191482611,-0.04876143144204913,-0.004986564317593034,0.0,0.0,False,1.0,2700000,10,2160000.0
3362992.076407447,224199.47176049647,187542.1498306315,264992.1480398219,7.473315725349882,2160000.0,3362992.076407447,0,-240303.46725027933,-0.11125160520846265,-0.007831909781898516,0.0,0.0,False,1.0,2700000,15,2160000.0
3882275.169711165,194113.75848555827,151979.9258513368,242962.73667718595,6.470458616185276,2160000.0,3882275.169711165,0,-437324.29269824957,-0.2024649503232637,-0.011247740597155609,0.0,0.0,False,1.0,2700000,20,2160000.0
4476577.057400196,179063.08229600784,131055.91648785489,237044.2369979116,5.968769409866928,2160000.0,4476577.057400196,0,-718733.624052709,-0.33274704817255046,-0.01605319433382335,0.0,0.0,False,1.0,2700000,25,2160000.0
5156024.613449456,171867.48711498186,117442.076272035,240334.3332763619,5.728916237166062,2160000.0,5156024.613449456,0,-1114012.2479750596,-0.5157464110995647,-0.023881759820788884,0.0,0.0,False,1.0,2700000,30,2160000.0
3017526.2846565694,301752.62846565695,269340.66402295703,336369.5815993864,10.05842094885523,2240000.0,3017526.2846565694,0,-109225.60643019067,-0.048761431442049405,-0.004986564317593034,0.0,0.0,False,1.0,2800000,10,2240000.0
3487547.338496612,232503.15589977414,194488.15537991418,274806.6720412968,7.750105196659138,2240000.0,3487547.338496612,0,-249203.59566695703,-0.11125160520846296,-0.007831909781898516,0.0,0.0,False,1.0,2800000,15,2240000.0
4026063.1389597273,201303.15694798637,157608.81199397892,251961.35655411877,6.710105231599545,2240000.0,4026063.1389597273,0,-453521.4887241117,-0.20246495032326414,-0.011247740597155609,0.0,0.0,False,1.0,2800000,20,2240000.0
4642376.207674276,185695.04830697103,135909.83932073842,245823.65318301943,6.189834943565701,2240000.0,4642376.207674276,0,-745353.3879065134,-0.33274704817255063,-0.01605319433382335,0.0,0.0,False,1.0,2800000,25,2240000.0
5346988.488021658,178232.9496007219,121791.7828006289,249235.60487919016,5.9410983200240635,2240000.0,5346988.488021658,0,-1155271.9608630287,-0.5157464110995663,-0.023881759820788995,0.0,0.0,False,1.0,2800000,30,2240000.0
3125295.0805371613,312529.50805371616,278959.9734523483,348382.7809422216,10.417650268457205,2320000.0,3125295.0805371613,0,-113126.52094555477,-0.048761431442049474,-0.004986564317593034,0.0,0.0,False,1.0,2900000,10,2320000.0
3612102.6005857764,240806.84003905175,201434.16092919683,284621.1960427717,8.026894667968392,2320000.0,3612102.6005857764,0,-258103.7240836345,-0.11125160520846315,-0.007831909781898516,0.0,0.0,False,1.0,2900000,15,2320000.0
4169851.1082082894,208492.55541041447,163237.69813662104,260959.97643105162,6.9497518470138155,2320000.0,4169851.1082082894,0,-469718.6847499745,-0.2024649503232649,-0.011247740597155609,0.0,0.0,False,1.0,2900000,20,2320000.0
4808175.357948357,192327.01431793428,140763.76215362194,254603.06936812727,6.410900477264476,2320000.0,4808175.357948357,0,-771973.151760317,-0.33274704817255046,-0.01605319433382335,0.0,0.0,False,1.0,2900000,25,2320000.0
5537952.36259386,184598.41208646202,126141.4893292228,258136.87648201836,6.153280402882067,2320000.0,5537952.36259386,0,-1196531.6737509954,-0.515746411099567,-0.023881759820788995,0.0,0.0,False,1.0,2900000,30,2320000.0
3233063.8764177533,323306.3876417753,288579.28288173967,360395.9802850568,10.776879588059177,2400000.0,3233063.8764177533,0,-117027.43546091928,-0.0487614314420497,-0.004986564317593034,0.0,0.0,False,1.0,3000000,10,2400000.0
3736657.862674941,249110.5241783294,208380.16647847948,294435.7200442466,8.303684139277646,2400000.0,3736657.862674941,0,-267003.85250031156,-0.11125160520846315,-0.007831909781898516,0.0,0.0,False,1.0,3000000,15,2400000.0
4313639.0774568515,215681.95387284257,168866.58427926313,269958.59630798444,7.189398462428086,2400000.0,4313639.0774568515,0,-485915.88077583327,-0.20246495032326386,-0.011247740597155609,0.0,0.0,False,1.0,3000000,20,2400000.0
4973974.508222439,198958.98032889757,145617.68498650545,263382.4855532351,6.631966010963252,2400000.0,4973974.508222439,0,-798592.9156141225,-0.3327470481725511,-0.01605319433382335,0.0,0.0,False,1.0,3000000,25,2400000.0
