loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,6300000,15,15,5040000.0,0.9107142857142857,19351276.73,8030325.426155605,11127096.2,13323473.0,17865360.5,22808176.0,29631035.6,3589320.46875,6083,0.9972131147540984,24742.03125,5374957.748125,5399699.779375,0.11881003533355483,0.027638060827210875,0.01,13026.080456308853,0.09780406951904297
Principal+Interest,6300000,15,15,5040000.0,0.9107142857142857,16709093.65,7366618.751073792,9014346.2,11237358.25,15338053.0,19671519.75,27008570.500000004,3438483.75,6096,0.999344262295082,4016.25,4159062.59,4163078.84,0.10622828732964362,0.024668903767273376,0.05,34043.17226638542,0.09465217590332031
Interest Only,6300000,15,20,5040000.0,0.8809523809523809,18716352.7,8530262.936408164,10091941.7,12846068.5,17174394.0,22125241.5,33029014.500000007,3496674.375,6095,0.9991803278688525,4888.125,5135542.5125,5140430.6375,0.11860303890395385,0.027540070625225788,0.03,40385.83929901108,0.09581589698791504
Principal+Interest,6300000,15,20,5040000.0,0.8809523809523809,18408717.17,9406643.983051104,9385127.4,11353640.75,14804547.0,25272803.5,32260417.3,3316402.5,6089,0.9981967213114754,13597.5,5091256.97,5104854.47,0.11749510027209653,0.027288045455862164,0.04,56206.03849619826,0.10178208351135254
Interest Only,6300000,15,25,5040000.0,0.8511904761904762,18012435.15,9338475.288864413,8948529.0,12322158.25,15762038.5,22839346.25,27262757.300000004,3366047.8125,6082,0.9970491803278688,23014.6875,4897217.82625,4920232.51375,0.11816033233449752,0.027421176209738274,0.08,68099.03232665783,0.09435510635375977
Principal+Interest,6300000,15,25,5040000.0,0.8511904761904762,17502070.71,9207551.943157004,8260901.3,11043048.5,15619401.0,20483025.25,30052338.7,3202485.0,6087,0.9978688524590164,15015.0,4722435.46,4737450.46,0.11589925721985095,0.026885142819970564,0.08,66681.59752529161,0.09523391723632812
Interest Only,6300000,15,30,5040000.0,0.8214285714285714,16700795.73,6784343.75870608,9794390.4,12047537.25,14847610.5,20905746.25,25376726.400000002,3268281.5625,6093,0.9988524590163934,8280.9375,4216174.74125,4224455.67875,0.11403772092715747,0.02641009197642452,0.02,3384.0928276562167,0.09598898887634277
Principal+Interest,6300000,15,30,5040000.0,0.8214285714285714,15652105.64,7685516.690122962,7563710.7,10329736.25,13975462.0,19586402.5,25230733.70000001,3097496.25,6093,0.9988524590163934,7503.75,3859673.315,3867177.065,0.10888481184722254,0.025196338160432097,0.09,61427.929116999796,0.19690394401550293
Interest Only,6300000,20,20,5040000.0,0.8809523809523809,30060708.01,21065464.98256733,12437362.9,17607741.25,25302652.0,37696396.0,50333212.1,4483642.03125,7918,0.9775308641975309,260107.96875,10277335.514375,10537443.483125,0.11664877289027165,0.027347123461634038,0.02,2558.0716528055527,0.3487401008605957
Principal+Interest,6300000,20,20,5040000.0,0.8809523809523809,29218220.5,16501035.445201663,12961224.8,17900026.5,26317447.0,37045040.0,46281447.10000002,4236592.5,7939,0.9801234567901235,203407.5,10002226.515,10205634.015,0.11508116066196972,0.026956299798110317,0.03,20457.558555081305,0.24308991432189941
