loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,5200000,15,20,4160000.0,0.8557692307692308,14682911.8689,7118175.352197589,7330810.100000001,9642806.0,13214923.0,17981119.0,24172392.200000003,2827534.6421875004,608693,0.9978573770491803,14027.857812500002,3901933.30103125,3915961.15884375,0.11647052802413826,0.02683476897000414,0.0589,36884.32937895113,4.397558927536011
Principal+Interest,5200000,15,20,4160000.0,0.8557692307692308,13691690.9409,6857650.474225349,6641718.0,8939565.0,12262189.5,16784381.0,22337732.500000004,2659030.7500000005,608858,0.998127868852459,10969.250000000002,3511826.10935,3522795.35935,0.1107367714320624,0.0254806066788984,0.0798,52245.23018755995,4.592440128326416
Interest Only,5200000,15,25,4160000.0,0.8197115384615384,14134663.3992,6830242.237613581,6972938.0,9344000.75,12768980.0,17376301.0,23165207.1,2715778.2078125,608688,0.9978491803278688,13284.2921875,3689878.10201875,3703162.39420625,0.11656565718977507,0.026808770629530798,0.061,35003.78962873464,4.657633066177368
Principal+Interest,5200000,15,25,4160000.0,0.8197115384615384,13070943.5011,6516819.837461671,6344134.3,8501449.75,11672956.5,16152887.25,21420698.500000004,2547975.44375,608952,0.9982819672131148,9524.55625,3265199.887875,3274724.444125,0.11009380027349014,0.02527813792169864,0.0805,51138.256152059126,4.519857883453369
Interest Only,5200000,15,30,4160000.0,0.7836538461538461,13491338.3357,6525144.944364085,6675990.5,8840267.0,12117342.5,16594462.75,21936820.0,2602291.53125,608553,0.997627868852459,14270.96875,3430449.202075,3444720.170825,0.11604552184471428,0.026635801757600497,0.0598,32230.026995578668,4.688579797744751
Principal+Interest,5200000,15,30,4160000.0,0.7836538461538461,12309136.5356,6113432.819068872,5983022.9,7979456.75,11053337.0,15289834.5,20290702.100000005,2437669.075,609152,0.9986098360655737,7330.925,2950737.7655,2958068.6905,0.10838053542506376,0.024815866970804956,0.0836,49752.29257665123,4.576514005661011
Interest Only,5200000,20,20,4160000.0,0.8557692307692308,23782521.8312,13147650.812193248,10364963.5,14374772.75,20885401.5,30222295.25,40266182.800000004,3615472.4109375007,788758,0.9737753086419753,248277.58906250005,8030320.82543125,8278598.41449375,0.11572618066402818,0.026975878641469553,0.0268,15702.071702081066,5.827240228652954
Principal+Interest,5200000,20,20,4160000.0,0.8557692307692308,22257585.9224,12838071.664022328,9403100.5,13362591.25,19412618.0,27899953.75,38530577.800000004,3383094.7,792567,0.9784777777777778,176905.30000000002,7394393.7218,7571299.0218,0.11180899865075067,0.02602235539037001,0.0362,22230.00151993605,6.83595085144043
Interest Only,5200000,20,25,4160000.0,0.8197115384615384,22733484.7139,12682524.498573583,10174725.5,13998208.75,19956220.5,28600752.5,38457687.400000006,3477410.80625,788948,0.9740098765432099,236339.19375,7577112.137725,7813451.331475,0.11542918993641837,0.02686366134555951,0.0273,15136.069328392898,6.127446889877319
Principal+Interest,5200000,20,25,4160000.0,0.8197115384615384,20944675.6829,12255301.59856059,8804921.9,12418014.0,18104132.5,26444142.0,36270852.4,3246475.58125,793162,0.9792123456790124,163524.41875,6812483.338125,6976007.756875,0.11053188354112331,0.025675397571998326,0.04,22524.86199003522,6.862208127975464
