ltv,lending_margin,additional_margin,annual_income_pct,annual_income,insurance_cost_pa,loan_amount,reinvest_fraction,total_cost_of_funds,mean_reinvestment,mean_cagr,xirr,prob_insurance_payout,mean_funder_earned
0.4,0.05,0.015,0.01,20000.0,0.01,800000.0,0.5,0.105,462885.47,0.008097071273627687,0.005161422694249129,0.95,547670.25
0.4,0.05,0.015,0.01,20000.0,0.015,800000.0,0.5,0.105,353026.09,-0.006207453722324674,0.0005071285757978217,0.99,469562.625
0.4,0.05,0.015,0.01,20000.0,0.02,800000.0,0.5,0.105,267182.82,-0.01997438528615414,-0.006210490816056957,1.0,353246.625
0.4,0.05,0.015,0.01,20000.0,0.025,800000.0,0.5,0.105,185168.68,-0.037777790211165674,-0.015516002254717276,1.0,249099.75
0.4,0.05,0.015,0.01,20000.0,0.03,800000.0,0.5,0.105,98132.6,-0.06784600390922313,-0.035012819085730174,1.0,144655.875
0.4,0.05,0.015,0.015,30000.0,0.01,800000.0,0.25,0.105,128487.67,-0.021881275387861,-0.03769897325732052,1.0,175349.25
0.4,0.05,0.015,0.015,30000.0,0.015,800000.0,0.25,0.105,44348.44,-0.07254591675180533,-0.12643006776703736,1.0,71944.875
0.4,0.05,0.015,0.015,30000.0,0.02,800000.0,0.25,0.105,-288996.3,nan,nan,1.0,19098.5625
0.4,0.05,0.015,0.015,30000.0,0.025,800000.0,0.25,0.105,-809083.48,nan,nan,1.0,47772.0
0.4,0.05,0.015,0.015,30000.0,0.03,800000.0,0.25,0.105,-1267832.08,nan,nan,1.0,73324.125
0.4,0.05,0.02,0.01,20000.0,0.01,800000.0,0.5,0.11,482553.28,0.010954529441378202,0.006079895210888031,0.94,561157.875
0.4,0.05,0.02,0.01,20000.0,0.015,800000.0,0.5,0.11,353841.92,-0.006111959885427787,0.0006813578727111747,0.99,475044.75
0.4,0.05,0.02,0.01,20000.0,0.02,800000.0,0.5,0.11,272884.14,-0.018939217773913386,-0.0060554314306744406,0.99,349737.75
0.4,0.05,0.02,0.01,20000.0,0.025,800000.0,0.5,0.11,178490.62,-0.03954334450525698,-0.017181456448739918,1.0,231574.5
0.4,0.05,0.02,0.01,20000.0,0.03,800000.0,0.5,0.11,100762.99,-0.06661234470560706,-0.03523980408399818,1.0,129805.875
0.4,0.05,0.02,0.015,30000.0,0.01,800000.0,0.25,0.11,128438.71,-0.02189991428241722,-0.0374374641185613,1.0,170633.8125
0.4,0.05,0.02,0.015,30000.0,0.015,800000.0,0.25,0.11,45869.09,-0.07098119190009977,-0.12210553192829754,1.0,64904.0625
0.4,0.05,0.02,0.015,30000.0,0.02,800000.0,0.25,0.11,-263503.91,nan,nan,1.0,18174.375
0.4,0.05,0.02,0.015,30000.0,0.025,800000.0,0.25,0.11,-893820.28,nan,nan,1.0,45790.3125
0.4,0.05,0.02,0.015,30000.0,0.03,800000.0,0.25,0.11,-1282255.94,nan,nan,1.0,72219.9375
0.4,0.05,0.025,0.01,20000.0,0.01,800000.0,0.5,0.11499999999999999,469363.63,0.00919471965898988,0.0044890797139689465,0.97,508437.0
0.4,0.05,0.025,0.01,20000.0,0.015,800000.0,0.5,0.11499999999999999,344714.66,-0.007409788386190108,0.0005240332646436752,1.0,478080.0
0.4,0.05,0.025,0.01,20000.0,0.02,800000.0,0.5,0.11499999999999999,260715.06,-0.021174429104037218,-0.006290694749342629,1.0,358168.5
0.4,0.05,0.025,0.01,20000.0,0.025,800000.0,0.5,0.11499999999999999,180340.82,-0.039047983542578546,-0.01688657860741516,1.0,224332.875
0.4,0.05,0.025,0.01,20000.0,0.03,800000.0,0.5,0.11499999999999999,97990.83,-0.06791338327271834,-0.036928515844424914,1.0,122090.625
0.4,0.05,0.025,0.015,30000.0,0.01,800000.0,0.25,0.11499999999999999,123907.6,-0.02365479553097849,-0.039924295341178806,1.0,159982.875
0.4,0.05,0.025,0.015,30000.0,0.015,800000.0,0.25,0.11499999999999999,43309.75,-0.07364428736511242,-0.1268769364857556,1.0,64003.5
0.4,0.05,0.025,0.015,30000.0,0.02,800000.0,0.25,0.11499999999999999,-280591.69,nan,nan,1.0,17938.6875
0.4,0.05,0.025,0.015,30000.0,0.025,800000.0,0.25,0.11499999999999999,-816479.22,nan,nan,1.0,46281.375
0.4,0.05,0.025,0.015,30000.0,0.03,800000.0,0.25,0.11499999999999999,-1461870.17,nan,nan,1.0,65755.125
0.4,0.06,0.01,0.01,20000.0,0.01,800000.0,0.5,0.11,531329.62,0.016857060132839274,0.008049065808204192,0.9,608636.25
0.4,0.06,0.01,0.01,20000.0,0.015,800000.0,0.5,0.11,370855.76,-0.003775422461605338,0.0016123823244276192,1.0,491933.75
0.4,0.06,0.01,0.01,20000.0,0.02,800000.0,0.5,0.11,264541.87,-0.02046102382789783,-0.004240414731720432,1.0,413547.5
0.4,0.06,0.01,0.01,20000.0,0.025,800000.0,0.5,0.11,183448.76,-0.03822664884343474,-0.01427860012285187,1.0,279270.0
0.4,0.06,0.01,0.01,20000.0,0.03,800000.0,0.5,0.11,98332.43,-0.0677511871009907,-0.03462018809293921,1.0,148870.0
0.4,0.06,0.01,0.015,30000.0,0.01,800000.0,0.25,0.11,127174.51,-0.0223835428213206,-0.03558656763585988,1.0,190977.5
0.4,0.06,0.01,0.015,30000.0,0.015,800000.0,0.25,0.11,46715.72,-0.07013125024543287,-0.12164047601857964,1.0,74135.0
