loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Principal+Interest,1200000,15,20,960000.0,0.625,-2997701.4780858736,1406722.46139429,-4850551.925441872,-3661436.0188110755,-2720742.815052056,-1997578.106422837,-1513749.4997684932,748800.0,600000.0,1.0,0.0,0.0,0.0,nan,,1.0,2413457.9817718836,0.5803039073944092
Interest Only,1200000,15,25,960000.0,0.53125,596857.8430478149,361345.09554094524,238797.10695073855,348359.6392102627,516460.7214011507,751690.913011026,1048480.6436117177,748800.0,600000.0,1.0,0.0,2960.523756881978,2960.523756881978,0.010873097883340899,,0.9478,377930.17993362277,0.5958132743835449
Principal+Interest,1200000,15,25,960000.0,0.53125,-3401960.6238783044,1595863.3054641827,-5495290.089942709,-4162860.0025884192,-3084620.245566852,-2270306.142913113,-1723270.7560159862,748800.0,600000.0,1.0,0.0,0.0,0.0,nan,,1.0,2587954.9300834085,0.5496668815612793
Interest Only,1200000,15,30,960000.0,0.4375,192598.69725538016,188074.27798758008,8997.438606706413,71271.48942271605,155503.11722636537,271540.89018472296,424665.69489825243,748800.0,600000.0,1.0,0.0,99.52707259339702,99.52707259339702,-0.050616029383789174,,0.9976,542420.7143391937,0.579491138458252
Principal+Interest,1200000,15,30,960000.0,0.4375,-3806219.769670752,1787363.4121733168,-6137114.905898779,-4660369.081833382,-3452766.182619759,-2538198.0598667786,-1923009.2681944394,748800.0,600000.0,1.0,0.0,0.0,0.0,nan,,1.0,2762451.8783949395,0.5243031978607178
Interest Only,1200000,20,20,960000.0,0.625,902866.8910915212,720144.4684618338,251439.7056060632,422956.1200087024,727224.7182487916,1176155.3375031059,1741706.9432227248,998400.0,800000.0,1.0,0.0,28637.05471935592,28637.05471935592,0.02223717930403013,,0.8739,359353.15286260063,0.7424929141998291
Principal+Interest,1200000,20,20,960000.0,0.625,-5541224.953025291,3076327.2162552527,-9375125.36982705,-6844787.282196973,-4866811.702634575,-3406357.857432029,-2479096.34760883,998400.0,800000.0,1.0,0.0,0.0,0.0,nan,,1.0,3258431.6293337527,0.7936210632324219
Interest Only,1200000,20,25,960000.0,0.53125,235159.39737089467,409917.784286235,-145132.67229536778,-517.810909141408,162639.89642771654,386569.40413474955,697784.5646423995,998400.0,800000.0,1.0,0.0,1848.5854825542647,1848.5854825542647,-0.037591079270528294,,0.987,584609.2806429934,0.7419393062591553
Principal+Interest,1200000,20,25,960000.0,0.53125,-6208932.446745918,3449424.2961881305,-10522166.65636399,-7681895.731616021,-5466808.362629801,-3808688.0640360583,-2775417.5524560367,998400.0,800000.0,1.0,0.0,0.0,0.0,nan,,1.0,3522089.7881905246,0.7123491764068604
Interest Only,1200000,20,30,960000.0,0.4375,-432548.0963497238,353984.7038429714,-873025.2040254114,-589124.9585224988,-366868.879895151,-206619.0336138929,-89267.52161462797,998400.0,800000.0,1.0,0.0,49.91579377240704,49.91579377240704,nan,,0.9998,844843.4008937118,0.8311679363250732
Principal+Interest,1200000,20,30,960000.0,0.4375,-6876639.940466525,3826370.9771865886,-11668965.521927161,-8514742.245755227,-6048841.9550039545,-4220426.745901072,-3075916.563609098,998400.0,800000.0,1.0,0.0,0.0,0.0,nan,,1.0,3785747.9470472657,0.7924990653991699
Interest Only,1200000,25,25,960000.0,0.53125,-748802.817820958,785152.2643776006,-1676363.205504181,-1076646.9587690618,-613229.9305254377,-284571.2178223148,-26650.629893363475,1248000.0,1000000.0,1.0,0.0,623.6559573340943,623.6559573340943,nan,,0.9983,941054.0598541284,0.9159622192382812
Principal+Interest,1200000,25,25,960000.0,0.53125,-11171516.76344404,7085898.160987043,-19930652.338927865,-14070212.106962373,-9421798.30389361,-6348954.8261511745,-4445204.571428493,1248000.0,1000000.0,1.0,0.0,0.0,0.0,nan,,1.0,4850078.982992153,0.925666093826294
Interest Only,1200000,25,30,960000.0,0.4375,-1855231.7101944527,1236299.296322509,-3369734.43008608,-2354112.9699019436,-1539212.321201675,-1014740.184592366,-686409.3466580394,1248000.0,1000000.0,1.0,0.0,0.0,0.0,nan,,0.9999,1321632.4141299645,0.9182400703430176
Principal+Interest,1200000,25,30,960000.0,0.4375,-12277945.655817531,7800265.066541116,-21860189.958229452,-15438140.323703084,-10337824.83980958,-6979505.277699147,-4879985.873984912,1248000.0,1000000.0,1.0,0.0,0.0,0.0,nan,,1.0,5231358.538817835,0.9903948307037354
Interest Only,1200000,30,30,960000.0,0.4375,-4775289.689365453,3393437.191899496,-8834064.489650141,-6013085.608928253,-3893461.1092906203,-2529003.5778464507,-1699518.3706787063,1497600.0,1200000.0,1.0,0.0,0.0,0.0,nan,,1.0,2063542.8339181948,1.305311679840088
Principal+Interest,1200000,30,30,960000.0,0.4375,-21505572.11262278,15074826.41054608,-39747060.11403688,-27017365.182890255,-17548608.006284066,-11430628.909333711,-7783967.755613838,1497600.0,1200000.0,1.0,0.0,0.0,0.0,nan,,1.0,7221801.2254760275,1.4184060096740723
